Titulo,Descripcion,Categoria,Latitud,Longitud,fecha
40293,Colisión vehículo-vehículo,Motocicleta,-33,-69,2022-07-10
40293,Colisión vehículo-vehículo,Motocicleta,-33,-69,2022-07-10
40295,Colisión vehículo-vehículo,Motocicleta,-33,-68,2022-07-16
40297,Colisión vehículo-vehículo,Motocicleta,-33,-68,2022-07-22
40298,Colisión vehículo-vehículo,Motocicleta,-33,-69,2022-07-27
40299,Colisión vehículo-persona,Camioneta,-33,-69,2022-07-28
40300,Vuelco-despistes,Sin vehiculo,-33,-69,2022-07-31
40303,Colisión vehículo-persona,Sin vehiculo,-34,-69,2022-08-03
40304,Colisión vehículo-vehículo,Motocicleta,-35,-68,2022-08-08
40307,Vuelco-despistes,Camioneta,-33,-69,2022-08-14
40308,Colisión vehículo-vehículo,Automóvil,-33,-68,2022-08-14
40310,Colisión vehículo-vehículo,Motocicleta,-35,-68,2022-08-19
40312,Colisión vehículo-objeto,Automóvil,-33,-68,2022-08-28
40313,Colisión vehículo-vehículo,Bicicleta,-35,-68,2022-08-30
40318,Colisión vehículo-vehículo,Camioneta,-35,-68,2022-09-05
40319,Colisión vehículo-objeto,Motocicleta,-33,-69,2022-09-10
40320,Vuelco-despistes,Automóvil,-33,-69,2022-09-11
40322,Colisión vehículo-vehículo,Camioneta,-33,-69,2022-09-13
40323,Vuelco-despistes,Colectivo,-33,-68,2022-09-28
40324,Colisión vehículo-objeto,Motocicleta,-33,-69,2022-09-30
40325,Colisión vehículo-vehículo,Bicicleta,-34,-69,2022-10-03
40326,Vuelco-despistes,Motocicleta,-33,-69,2022-10-06
40327,Colisión vehículo-vehículo,Camioneta,-35,-68,2022-10-23
40328,Colisión vehículo-vehículo,Automóvil,-33,-69,2022-10-23
40328,Colisión vehículo-vehículo,Automóvil,-33,-69,2022-10-23
40328,Colisión vehículo-vehículo,Automóvil,-33,-69,2022-10-23
40328,Colisión vehículo-vehículo,Automóvil,-33,-69,2022-10-23
40328,Colisión vehículo-vehículo,Automóvil,-33,-69,2022-10-23
40329,Colisión vehículo-vehículo,Motocicleta,-33,-69,2022-10-28
40330,Colisión vehículo-vehículo,Motocicleta,-33,-68,2022-10-31
40331,Colisión vehículo-vehículo,Motocicleta,-35,-68,2022-10-31
40332,Colisión vehículo-vehículo,Motocicleta,-33,-69,2022-11-06
40335,Colisión vehículo-objeto,Automóvil,-33,-69,2022-11-17
40336,Colisión vehículo-objeto,Automóvil,-33,-69,2022-11-20
40337,Colisión vehículo-vehículo,Motocicleta,-33,-69,2022-11-26
40340,Colisión vehículo-objeto,Motocicleta,-25,-65,2022-10-09
40341,Colisión vehículo-objeto,Automóvil,-25,-65,2022-10-10
40342,Colisión vehículo-persona,Sin vehiculo,-25,-66,2022-10-11
40351,Colisión vehículo-vehículo,Camioneta,-24,-65,2022-07-02
40351,Colisión vehículo-vehículo,Motocicleta,-24,-65,2022-07-02
40353,Colisión vehículo-vehículo,Motocicleta,-28,-66,2022-09-05
40354,Colisión vehículo-vehículo,Motocicleta,-29,-65,2022-08-25
40357,Colisión vehículo-persona,Bicicleta,-28,-64,2022-08-28
40358,Vuelco-despistes,Motocicleta,-28,-64,2022-08-28
40360,Colisión vehículo-persona,Sin vehiculo,-28,-64,2022-08-26
40369,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-08-03
40373,Vuelco-despistes,Automóvil,-28,-64,2022-08-31
40386,Colisión vehículo-vehículo,Motocicleta,-28,-66,2022-07-04
40387,Colisión vehículo-objeto,Automóvil,-32,-58,2022-11-18
40390,Vuelco-despistes,Automóvil,-31,-58,2022-11-24
40391,Colisión vehículo-vehículo,Motocicleta,-33,-59,2022-11-27
40392,Colisión vehículo-vehículo,Camioneta,-33,-59,2022-11-06
40392,Colisión vehículo-vehículo,Camioneta,-33,-59,2022-11-06
40393,Colisión vehículo-persona,Sin vehiculo,-32,-61,2022-11-13
40394,Colisión vehículo-vehículo,Motocicleta,-32,-60,2022-11-14
40395,Colisión vehículo-vehículo,Motocicleta,-32,-58,2022-11-19
40395,Colisión vehículo-vehículo,Motocicleta,-32,-58,2022-11-19
40396,Colisión vehículo-vehículo,Motocicleta,-32,-59,2022-11-25
40406,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-09-03
40407,Vuelco-despistes,Motocicleta,-26,-63,2022-09-17
40413,Colisión vehículo-objeto,Motocicleta,-28,-64,2022-09-04
40414,Vuelco-despistes,Motocicleta,-26,-63,2022-09-03
40419,Colisión vehículo-vehículo,Motocicleta,-32,-61,2022-11-12
40420,Colisión vehículo-vehículo,Motocicleta,-32,-61,2022-11-26
40422,Colisión vehículo-objeto,Motocicleta,-33,-61,2022-11-04
40423,Colisión vehículo-vehículo,Bicicleta,-33,-61,2022-11-15
40424,Colisión vehículo-persona,Sin vehiculo,-33,-61,2022-11-19
40426,Colisión vehículo-vehículo,Motocicleta,-33,-61,2022-11-01
40428,Colisión vehículo-vehículo,Motocicleta,-33,-61,2022-11-24
40431,Colisión vehículo-vehículo,Bicicleta,-31,-62,2022-11-07
40432,Colisión vehículo-vehículo,Motocicleta,-31,-62,2022-11-09
40433,Colisión vehículo-objeto,Motocicleta,-31,-61,2022-11-19
40434,Colisión vehículo-objeto,Camioneta,-34,-61,2022-11-25
40436,Colisión vehículo-vehículo,Ciclomotor,-31,-60,2022-11-06
40437,Colisión vehículo-vehículo,Motocicleta,-34,-62,2022-11-13
40449,Colisión vehículo-vehículo,Motocicleta,-32,-61,2022-11-08
40452,Colisión vehículo-persona,Sin vehiculo,-29,-60,2022-11-26
40488,Vuelco-despistes,Motocicleta,-29,-59,2022-09-18
40491,Colisión vehículo-objeto,Automóvil,-29,-58,2022-11-05
40493,Colisión vehículo-vehículo,Motocicleta,-29,-59,2022-03-27
40499,Colisión vehículo-vehículo,Motocicleta,-30,-58,2022-06-26
40501,Colisión vehículo-vehículo,Motocicleta,-29,-59,2022-04-12
40510,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-10-23
40512,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-10-07
40513,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-10-16
40514,Vuelco-despistes,Camioneta,-29,-63,2022-10-11
40517,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-10-03
40521,Vuelco-despistes,Camioneta,-28,-62,2022-10-02
40522,Vuelco-despistes,Motocicleta,-29,-65,2022-10-30
40537,Colisión vehículo-vehículo,Motocicleta,-29,-65,2022-01-08
40538,Colisión vehículo-persona,Sin vehiculo,-29,-65,2022-02-08
40543,Colisión vehículo-objeto,Automóvil,-28,-66,2022-08-07
40544,Vuelco-despistes,Camioneta,-50,-69,2022-11-19
40546,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-11-26
40548,Colisión vehículo-vehículo,Motocicleta,-29,-63,2022-11-19
40548,Colisión vehículo-vehículo,Motocicleta,-29,-63,2022-11-19
40550,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-11-17
40551,Vuelco-despistes,Camioneta,-26,-63,2022-11-22
40552,Colisión vehículo-vehículo,Automóvil,-28,-64,2022-11-16
40554,Vuelco-despistes,Motocicleta,-28,-64,2022-11-09
40558,Colisión vehículo-persona,Automóvil,-27,-64,2022-11-12
40559,Vuelco-despistes,Motocicleta,-27,-65,2022-11-10
40560,Colisión vehículo-objeto,Motocicleta,-28,-64,2022-11-07
40561,Colisión vehículo-objeto,Motocicleta,-28,-64,2022-11-06
40562,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-11-05
40578,Vuelco-despistes,Motocicleta,-27,-54,2022-08-22
40579,Colisión vehículo-vehículo,Motocicleta,-33,-68,2022-12-03
40580,Colisión vehículo-persona,Sin vehiculo,-33,-69,2022-12-09
40581,Colisión vehículo-vehículo,Motocicleta,-33,-69,2022-12-16
40582,Vuelco-despistes,Automóvil,-35,-68,2022-12-16
40583,Colisión vehículo-vehículo,Automóvil,-35,-68,2022-12-18
40584,Colisión vehículo-persona,Sin vehiculo,-33,-69,2022-12-20
40585,Colisión vehículo-objeto,Camioneta,-35,-68,2022-12-24
40586,Colisión vehículo-vehículo,Automóvil,-33,-69,2022-12-29
40594,Colisión vehículo-vehículo,Automóvil,-43,-65,2022-08-15
40596,Colisión vehículo-persona,Sin vehiculo,-43,-65,2022-10-23
40598,Colisión vehículo-vehículo,Automóvil,-28,-56,2022-12-23
40599,Colisión vehículo-vehículo,Motocicleta,-46,-68,2022-12-19
40604,Colisión vehículo-vehículo,Automóvil,-25,-65,2022-11-09
40605,Colisión vehículo-vehículo,Automóvil,-25,-65,2022-11-12
40606,Colisión vehículo-vehículo,Automóvil,-22,-64,2022-11-13
40612,Colisión vehículo-vehículo,Automóvil,-40,-70,2022-11-25
40612,Colisión vehículo-vehículo,Automóvil,-40,-70,2022-11-25
40616,Vuelco-despistes,Automóvil,-26,-54,2022-06-28
40618,Vuelco-despistes,Automóvil,-27,-54,2022-07-19
40622,Colisión vehículo-vehículo,Motocicleta,-27,-54,2022-10-22
40623,Vuelco-despistes,Motocicleta,-25,-58,2022-12-16
40625,Vuelco-despistes,Motocicleta,-26,-58,2022-12-26
40627,Colisión vehículo-objeto,Motocicleta,-39,-68,2022-12-11
40628,Colisión vehículo-vehículo,Motocicleta,-39,-68,2022-12-10
40630,Colisión vehículo-vehículo,Automóvil,-39,-68,2022-12-23
40630,Colisión vehículo-vehículo,Automóvil,-39,-68,2022-12-23
40631,Colisión vehículo-vehículo,Motocicleta,-39,-68,2022-12-23
40632,Vuelco-despistes,Camión,-40,-70,2022-12-05
40634,Vuelco-despistes,Automóvil,-25,-64,2022-07-16
40635,Vuelco-despistes,Automóvil,-52,-72,2022-12-18
40640,Colisión vehículo-vehículo,Bicicleta,-27,-66,2022-05-06
40643,Colisión vehículo-persona,Sin vehiculo,-27,-55,2022-12-06
40645,Colisión vehículo-vehículo,Sin vehiculo,-25,-65,2022-11-20
40646,Colisión vehículo-vehículo,Sin determinar,-25,-65,2022-11-21
40650,Colisión vehículo-persona,Motocicleta,-23,-64,2022-11-27
40652,Colisión vehículo-vehículo,Motocicleta,-23,-64,2022-12-04
40653,Colisión vehículo-objeto,Camioneta,-31,-58,2022-12-16
40653,Colisión vehículo-objeto,Camioneta,-31,-58,2022-12-16
40654,Vuelco-despistes,Motocicleta,-31,-58,2022-12-30
40655,Vuelco-despistes,Automóvil,-33,-59,2022-12-27
40656,Vuelco-despistes,Motocicleta,-32,-60,2022-12-17
40657,Colisión vehículo-vehículo,Motocicleta,-32,-60,2022-12-17
40658,Colisión vehículo-vehículo,Bicicleta,-32,-61,2022-12-29
40660,Colisión vehículo-vehículo,Automóvil,-32,-59,2022-12-10
40661,Colisión vehículo-vehículo,Motocicleta,-33,-60,2022-12-09
40662,Colisión vehículo-vehículo,Automóvil,-33,-60,2022-12-28
40668,Colisión vehículo-vehículo,Camioneta,-26,-54,2022-12-19
40675,Colisión vehículo-vehículo,Camioneta,-25,-65,2022-12-18
40675,Colisión vehículo-vehículo,Camioneta,-25,-65,2022-12-18
40677,Colisión vehículo-objeto,Motocicleta,-27,-66,2022-12-11
40679,Colisión vehículo-vehículo,Camioneta,-25,-65,2022-12-18
40681,Colisión vehículo-vehículo,Camioneta,-25,-65,2022-12-23
40681,Colisión vehículo-vehículo,Camioneta,-25,-65,2022-12-23
40683,Caída del ocupante,Motocicleta,-25,-64,2022-12-25
40684,Colisión vehículo-vehículo,Motocicleta,-25,-65,2022-12-24
40685,Vuelco-despistes,Camión,-29,-65,2022-03-08
40686,Colisión vehículo-vehículo,Motocicleta,-29,-65,2022-04-03
40688,Vuelco-despistes,Automóvil,-29,-65,2022-06-05
40688,Vuelco-despistes,Automóvil,-29,-65,2022-06-05
40693,Colisión vehículo-vehículo,Motocicleta,-27,-54,2022-11-13
40696,Vuelco-despistes,Camioneta,-24,-66,2022-07-23
40696,Vuelco-despistes,Camioneta,-24,-66,2022-07-23
40698,Vuelco-despistes,Automóvil,-23,-66,2022-03-19
40700,Colisión vehículo-persona,Sin vehiculo,-24,-65,2022-08-06
40701,Colisión vehículo-vehículo,Automóvil,-24,-65,2022-08-22
40703,Colisión vehículo-vehículo,Bicicleta,-24,-65,2022-08-29
40704,Colisión vehículo-vehículo,Motocicleta,-24,-65,2022-08-13
40705,Colisión vehículo-vehículo,Motocicleta,-26,-55,2022-10-01
40708,Vuelco-despistes,Automóvil,-47,-69,2022-12-28
40709,Vuelco-despistes,Motocicleta,-26,-55,2022-12-14
40712,Colisión vehículo-vehículo,Motocicleta,-26,-63,2022-01-30
40714,Colisión vehículo-vehículo,Automóvil,-29,-63,2022-01-25
40714,Colisión vehículo-vehículo,Automóvil,-29,-63,2022-01-25
40717,Colisión vehículo-vehículo,Camioneta,-28,-63,2022-01-20
40719,Vuelco-despistes,Motocicleta,-28,-64,2022-01-01
40720,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-01-11
40721,Vuelco-despistes,Motocicleta,-28,-64,2022-01-15
40725,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-01-03
40726,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-01-01
40726,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-01-01
40727,Vuelco-despistes,Motocicleta,-28,-64,2022-01-28
40729,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-01-31
40741,Vuelco-despistes,Camión,-32,-62,2022-12-22
40741,Vuelco-despistes,Camión,-32,-62,2022-12-22
40743,Vuelco-despistes,Motocicleta,-29,-62,2022-12-20
40747,Colisión vehículo-vehículo,Motocicleta,-32,-62,2022-12-01
40749,Colisión vehículo-vehículo,Automóvil,-33,-61,2022-12-15
40751,Colisión vehículo-vehículo,Automóvil,-33,-61,2022-12-28
40752,Vuelco-despistes,Camioneta,-30,-60,2022-12-18
40755,Colisión vehículo-objeto,Motocicleta,-33,-61,2022-12-01
40756,Colisión vehículo-vehículo,Grúa,-33,-61,2022-12-03
40757,Vuelco-despistes,Automóvil,-33,-61,2022-12-04
40758,Colisión vehículo-persona,Sin vehiculo,-33,-61,2022-12-05
40759,Vuelco-despistes,Automóvil,-33,-61,2022-12-11
40759,Vuelco-despistes,Automóvil,-33,-61,2022-12-11
40760,Colisión vehículo-vehículo,Bicicleta,-33,-61,2022-12-11
40762,Colisión vehículo-vehículo,Motocicleta,-33,-61,2022-12-18
40763,Colisión vehículo-vehículo,Automóvil,-33,-61,2022-12-21
40764,Colisión vehículo-objeto,Automóvil,-32,-61,2022-12-08
40765,Vuelco-despistes,Motocicleta,-32,-61,2022-12-15
40767,Vuelco-despistes,Automóvil,-32,-61,2022-12-25
40768,Colisión vehículo-objeto,Motocicleta,-31,-62,2022-12-30
40772,Colisión vehículo-vehículo,Motocicleta,-33,-61,2022-12-18
40773,Colisión vehículo-vehículo,Motocicleta,-33,-61,2022-12-22
40806,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-03-02
40811,Colisión vehículo-vehículo,Motocicleta,-23,-65,2022-10-02
40812,Colisión vehículo-vehículo,Automóvil,-24,-65,2022-11-02
40814,Colisión vehículo-persona,Sin vehiculo,-23,-66,2022-10-02
40815,Vuelco-despistes,Motocicleta,-24,-65,2022-11-27
40818,Vuelco-despistes,Camioneta,-24,-65,2022-11-27
40820,Vuelco-despistes,Automóvil,-24,-65,2022-10-09
40822,Colisión vehículo-persona,Sin vehiculo,-24,-65,2022-10-17
40823,Colisión vehículo-vehículo,Motocicleta,-24,-65,2022-10-06
40827,Colisión vehículo-vehículo,Motocicleta,-24,-65,2022-09-18
40828,Vuelco-despistes,Motocicleta,-23,-67,2022-09-18
40829,Vuelco-despistes,Automóvil,-24,-65,2022-09-13
40831,Colisión vehículo-objeto,Motocicleta,-24,-65,2022-09-04
40858,Colisión vehículo-vehículo,Motocicleta,-41,-63,2022-05-07
40859,Vuelco-despistes,Automóvil,-42,-65,2022-05-14
40877,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-12-22
40877,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-12-22
40880,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-12-15
40881,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-12-25
40882,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-12-30
40883,Colisión vehículo-vehículo,Automóvil,-26,-63,2022-12-03
40887,Vuelco-despistes,Motocicleta,-28,-64,2022-12-25
40888,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-12-06
40889,Vuelco-despistes,Camioneta,-27,-65,2022-12-03
40890,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-12-20
40894,Colisión vehículo-objeto,Motocicleta,-28,-66,2022-12-05
40895,Colisión vehículo-vehículo,Motocicleta,-28,-66,2022-12-20
40903,Colisión vehículo-vehículo,Motocicleta,-28,-64,2022-01-26
40911,Colisión vehículo-persona,Sin determinar,-23,-65,2022-12-26
40945,Colisión vehículo-vehículo,Motocicleta,-30,-69,2022-12-07
40946,Colisión vehículo-vehículo,Motocicleta,-32,-59,2022-11-13
40949,Sin determinar,Automóvil,-43,-65,2022-12-13
40950,Colisión vehículo-vehículo,Motocicleta,-43,-65,2022-10-05
40951,Colisión vehículo-persona,Sin vehiculo,-24,-65,2022-01-22
40952,Vuelco-despistes,Motocicleta,-24,-65,2022-01-23
40971,Colisión vehículo-vehículo,Motocicleta,-34,-65,2022-04-02
40975,Vuelco-despistes,Automóvil,-41,-65,2022-06-23
40977,Colisión vehículo-vehículo,Camioneta,-39,-67,2022-06-09
40981,Colisión vehículo-vehículo,Motocicleta,-41,-63,2022-07-27
40982,Colisión vehículo-vehículo,Motocicleta,-39,-68,2022-07-17
40983,Colisión vehículo-persona,Sin vehiculo,-39,-68,2022-07-10
40984,Colisión vehículo-persona,Automóvil,-39,-68,2022-07-21
40991,Vuelco-despistes,Motocicleta,-33,-66,2022-05-21
40992,Vuelco-despistes,Automóvil,-33,-66,2022-05-25
40996,Colisión vehículo-vehículo,Motocicleta,-33,-66,2022-06-10
41002,Colisión vehículo-persona,Sin vehiculo,-24,-65,2022-09-12
41003,Colisión vehículo-vehículo,Automóvil,-46,-68,2022-12-17
41004,Colisión vehículo-vehículo,Motocicleta,-27,-59,2022-01-19
41008,Colisión vehículo-vehículo,Motocicleta,-26,-61,2022-01-05
41011,Vuelco-despistes,Automóvil,-27,-59,2022-01-30
41012,Colisión vehículo-vehículo,Motocicleta,-27,-59,2022-01-31
41013,Colisión vehículo-vehículo,Motocicleta,-27,-59,2022-01-21
41016,Colisión vehículo-vehículo,Motocicleta,-27,-59,2022-01-14
41017,Colisión vehículo-vehículo,Motocicleta,-27,-59,2022-01-21
41018,Colisión vehículo-vehículo,Motocicleta,-27,-59,2022-01-07
41020,Colisión vehículo-vehículo,Motocicleta,-27,-61,2022-02-20
41021,Colisión vehículo-vehículo,Bicicleta,-26,-60,2022-02-11
41022,Colisión vehículo-animal,Motocicleta,-26,-60,2022-02-19
41024,Colisión vehículo-vehículo,Motocicleta,-28,-61,2022-02-07
41027,Vuelco-despistes,Motocicleta,-27,-59,2022-02-12
41028,Colisión vehículo-vehículo,Motocicleta,-27,-59,2022-02-02
41029,Colisión vehículo-vehículo,Motocicleta,-28,-62,2022-02-18
41029,Colisión vehículo-vehículo,Motocicleta,-28,-62,2022-02-18
41034,Colisión vehículo-vehículo,Motocicleta,-27,-59,2022-03-12
41035,Colisión vehículo-vehículo,Motocicleta,-27,-59,2022-03-27
41036,Colisión vehículo-vehículo,Camioneta,-27,-60,2022-03-14
41037,Colisión vehículo-vehículo,Motocicleta,-27,-61,2022-03-13
41038,Colisión vehículo-persona,Sin vehiculo,-27,-59,2022-03-22
41039,Colisión vehículo-vehículo,Motocicleta,-27,-60,2022-03-18
41040,Colisión vehículo-vehículo,Motocicleta,-27,-59,2022-03-08
41041,Colisión vehículo-vehículo,Camioneta,-26,-61,2022-03-23
41041,Colisión vehículo-vehículo,Camioneta,-26,-61,2022-03-23
41042,Colisión vehículo-vehículo,Motocicleta,-27,-59,2022-03-23
41068,Colisión vehículo-vehículo,Automóvil,-38,-68,2022-08-06
41068,Colisión vehículo-vehículo,Automóvil,-38,-68,2022-08-06
41070,Colisión vehículo-persona,Sin vehiculo,-40,-66,2022-08-13
41071,Colisión vehículo-vehículo,Motocicleta,-41,-68,2022-08-04
41072,Colisión vehículo-vehículo,Camioneta,-39,-68,2022-08-14
41073,Colisión vehículo-vehículo,Motocicleta,-38,-68,2022-08-05
41073,Colisión vehículo-vehículo,Motocicleta,-38,-68,2022-08-05
41077,Vuelco-despistes,Automóvil,-43,-71,2022-11-14
41112,Colisión vehículo-vehículo,Motocicleta,-29,-67,2022-08-01
41118,Caída del ocupante,Motocicleta,-29,-67,2022-09-11
41121,Colisión vehículo-vehículo,Motocicleta,-27,-59,2022-09-12
41123,Colisión vehículo-vehículo,Bicicleta,-27,-59,2022-09-23
41124,Colisión vehículo-vehículo,Motocicleta,-27,-61,2022-09-14
41135,Colisión vehículo-persona,Sin vehiculo,-27,-61,2022-10-21
41136,Vuelco-despistes,Automóvil,-27,-61,2022-10-22
41138,Colisión vehículo-vehículo,Motocicleta,-26,-61,2022-10-12
